lon,lat,spring_delta_ndvi
-109.4242019,36.2670273,4.541
-109.3129738,36.27954554,5.393
-109.2017089,36.29196019,1.759
-109.0904076,36.30427119,9.759
-109.9962514,36.29120251,6.118
-109.8850841,36.30425246,-0.094
-109.7738786,36.31719896,-3.502
-109.662635,36.33004196,-1.296
-109.5513538,36.34278141,2.232
-109.440035,36.35541725,10.498
-109.3286792,36.36794945,9.596
-109.2172865,36.38037794,6.721
-109.1058572,36.39270269,13.33
-109.9014651,36.39257824,-3.252
-109.7901321,36.40553919,-6.359
-109.6787609,36.41839652,-2.693
-109.5673519,36.4311502,1.378
-109.4559053,36.44380017,9.084
-109.3444215,36.45634638,16.29
-109.2329006,36.46878879,8.722
-109.1213431,36.48112734,6.274
-109.9178845,36.48089693,-4.123
-109.8064237,36.49387238,-7.953
-109.6949246,36.50674412,-2.546
-109.5833876,36.51951209,-0.992
-109.4718128,36.53217624,3.849
-109.3602007,36.54473653,6.61
-109.2485514,36.5571929,5.185
-109.1368654,36.56954532,5.589
-109.9343424,36.56920872,-5.873
-109.8227536,36.58219873,-2.716
-109.7111263,36.59508493,-0.271
-109.5994609,36.60786725,-1.07
-109.4877578,36.62054565,0.723
-109.376017,36.63312008,8.178
-109.2642391,36.64559049,3.789
-109.1524242,36.65795682,5.17
-109.950839,36.65751378,-7.167
-109.8391218,36.67051843,-3.697
-109.7273661,36.68341915,0.789
-109.6155722,36.69621589,1.172
-109.5037402,36.7089086,4.162
-109.3918706,36.72149723,6.856
-109.2799637,36.73398172,0.822
-109.1680196,36.74636204,11.362
-109.0560388,36.75863812,-0.764
-109.9673745,36.74581233,2.122
-109.8555287,36.75883167,2.26
-109.7436442,36.77174698,0.383
-109.6317213,36.7845582,-0.244
-109.5197604,36.79726527,3.362
-109.4077616,36.80986816,3.703
-109.2957253,36.82236681,4.774
-109.1836519,36.83476116,13.199
-109.0715415,36.84705118,-4.639
-109.9839489,36.83410453,1.505
-109.8719742,36.84713864,1.461
-109.7599606,36.86006859,0.735
-109.6479086,36.87289435,-0.484
-109.5358183,36.88561586,0.347
-109.4236901,36.89823307,3.71
-109.3115242,36.91074593,10.933
-109.199321,36.92315439,-0.093
-109.0870808,36.9354584,-5.443
-110.0005624,36.9223906,-0.649
-109.8884584,36.93543952,-0.579
-109.7763156,36.94838419,-1.19
-109.664134,36.96122455,-0.874
-109.5519141,36.97396056,-0.705
-109.4396562,36.98659215,3.99
-109.3273605,36.99911929,0.415
-109.7709713,31.34166052,43.16
-109.6665902,31.35458754,36.347
-109.5621758,31.36741655,36.019
-109.4577285,31.38014751,42.862
-109.3532484,31.39278037,53.931
-109.2487358,31.4053151,53.911
-109.144191,31.41775167,49.163
-110.4124659,31.35087941,26.111
-110.3081773,31.3644062,16.569
-110.203854,31.37783512,31.337
-110.0994961,31.39116615,35.555
-109.995104,31.40439923,29.77
-109.8906779,31.41753434,37.672
-109.786218,31.43057143,45.95
-109.6817245,31.44351046,43.442
-109.5771977,31.45635139,46.42
-109.4726378,31.46909419,42.484
-109.368045,31.48173881,47.864
-109.2634196,31.49428521,55.345
-109.1587619,31.50673337,55.72
-109.054072,31.51908323,13.569
-110.4284193,31.43969905,20.142
-110.3240187,31.45323839,22.624
-110.2195834,31.46667979,28.369
-110.1151134,31.48002321,34.25
-110.0106091,31.49326861,28.729
-109.9060706,31.50641594,34.981
-109.8014982,31.51946517,45.159
-109.6968921,31.53241626,50.641
-109.5922526,31.54526917,48.154
-109.4875799,31.55802385,41.717
-109.3828742,31.57068028,28.105
-109.2781358,31.58323841,52.474
-109.173365,31.59569821,59.406
-109.0685619,31.60805963,33.164
-110.4444077,31.52850137,24.323
-110.339895,31.54205332,27.046
-110.2353474,31.55550725,25.267
-110.1307651,31.56886311,31.277
-110.0261482,31.58212087,31.303
-109.9214971,31.59528048,35.203
-109.816812,31.60834191,38.928
-109.7120931,31.62130511,46.471
-109.6073407,31.63417005,39.12
-109.502555,31.64693668,30.525
-109.3977362,31.65960496,24.101
-109.2928845,31.67217487,31.353
-109.1880003,31.68464635,43.272
-109.0830837,31.69701937,49.923
-110.3558063,31.63085116,35.871
-110.2511461,31.64431767,26.624
-110.1464512,31.65768603,33.998
-110.0417216,31.6709562,36.335
-109.9369577,31.68412814,37.903
-109.8321597,31.69720182,38.504
-109.7273277,31.71017718,39.806
-109.6224621,31.72305419,44.897
-109.5175631,31.73583282,34.036
-109.4126309,31.74851301,25.378
-109.202668,31.77357796,10.044
-109.0976377,31.78596264,38.863
-110.3717526,31.71963206,25.242
-110.2669797,31.73311121,25.249
-110.1621719,31.74649212,37.122
-110.0573294,31.75977476,36.177
-109.9524524,31.77295909,32.934
-109.8475412,31.78604506,33.179
-109.7425959,31.79903264,46.626
-109.6376169,31.81192178,45.632
-109.5326044,31.82471245,40.784
-109.4275586,31.8374046,25.864
-109.3224797,31.84999821,4.593
-109.2173681,31.86249322,11.364
-109.1122239,31.87488959,32.558
-110.3877341,31.8083962,26.14
-110.2828483,31.82188804,33.229
-110.1779274,31.83528156,33.151
-110.0729717,31.84857672,35.133
-109.9679814,31.86177348,22.499
-109.8629567,31.8748718,44.765
-109.757898,31.88787165,54.503
-109.6528053,31.90077297,48.176
-109.547679,31.91357574,51.713
-109.4425193,31.9262799,27.032
-109.3373265,31.93888543,20.173
-109.2321008,31.95139228,20.794
-109.1268424,31.96380041,29.507
-110.4037509,31.89714375,31.146
-110.2987519,31.91064832,30.952
-110.1937177,31.9240545,29.104
-110.0886486,31.93736224,37.716
-109.9835447,31.95057149,17.719
-109.8784064,31.96368221,37.737
-109.7732338,31.97669438,49.696
-109.6680273,31.98960794,53.584
-109.562787,32.00242285,46.183
-109.4575132,32.01513908,40.965
-109.3522062,32.02775658,22.1
-109.2468661,32.04027532,26.069
-109.1414933,32.05269526,25.6
-110.4198031,31.98587486,30.675
-110.3146907,31.99939223,32.382
-110.2095429,32.01281112,37.747
-110.1043601,32.02613149,31.001
-109.9991425,32.03935328,36.437
-109.8938903,32.05247646,46.843
-109.7886037,32.065501,36.025
-109.683283,32.07842684,51.16
-109.5779285,32.09125396,48.863
-109.4725404,32.1039823,36.841
-109.3671189,32.11661183,19.189
-109.2616642,32.12914251,33.543
-109.1561767,32.1415743,26.599
-109.0506565,32.15390716,26.627
-110.4358909,32.07458971,26.776
-110.3306648,32.08811993,36.14
-110.2254033,32.10155159,35.938
-110.1201065,32.11488463,30.998
-110.0147748,32.12811902,35.178
-109.9094085,32.14125472,39.299
-109.8040077,32.15429168,48.174
-109.6985726,32.16722986,51.15
-109.5931036,32.18006923,39.384
-109.4876009,32.19280973,30.648
-109.3820647,32.20545134,40.662
-109.2764952,32.21799401,41.61
-109.1708928,32.2304377,33.198
-109.0652576,32.24278238,40.181
-110.3466743,32.17683159,28.431
-110.2412987,32.19027607,30.159
-110.1358879,32.20362185,30.767
-110.0304419,32.21686889,37.553
-109.9249612,32.23001715,38.068
-109.8194458,32.24306658,34.372
-109.7138962,32.25601716,43.803
-109.6083124,32.26886883,28.08
-109.5026949,32.28162155,37.386
-109.3970437,32.29427529,31.086
-109.2913592,32.30683,37.771
-109.1856416,32.31928565,42.973
-109.0798911,32.33164219,34.763
-110.3627194,32.26552738,27.102
-110.2572295,32.27898473,29.143
-110.1517042,32.2923433,29.397
-110.0461438,32.30560304,23.683
-109.9405484,32.31876392,32.797
-109.8349183,32.33182588,45.241
-109.7292538,32.3447889,53.55
-109.6235551,32.35765293,57.568
-109.5178225,32.37041792,53.32
-109.4120561,32.38308384,42.391
-109.3062563,32.39565065,38.62
-109.2004233,32.4081183,38.858
-109.0945573,32.42048676,38.444
-110.3788001,32.35420745,17.468
-110.2731957,32.36767774,26.379
-110.1675558,32.38104915,27.609
-110.0618806,32.39432165,25.483
-109.9561703,32.4074952,27.053
-109.8504253,32.42056975,38.585
-110.8499893,34.28766899,5.667
-111.4254906,34.39335359,2.575
-111.2090685,34.42205874,8.234
-111.1007976,34.43626014,14.519
-111.0097402,34.53867447,9.927
-110.9012699,34.55268868,9.33
-110.7927605,34.56660183,6.904
-111.460999,34.56985111,10.452
-111.3525677,34.58428403,10.978
-111.244096,34.598616,5.533
-111.0270327,34.6269769,7.216
-110.9184416,34.64100574,7.997
-110.8098112,34.65493343,10.186
-111.478814,34.65808263,11.163
-111.3702622,34.67253062,9.545
-111.2616699,34.68687757,8.726
-111.1530373,34.70112343,10.034
-111.0443648,34.71526815,13.705
-110.9356526,34.72931168,13.47
-110.826901,34.74325398,21.104
-111.4966698,34.74630289,8.71
-111.2792839,34.77512801,9.658
-111.1705303,34.78938882,14.133
-111.0617366,34.8035484,11.708
-110.952903,34.81760668,12.472
-110.8440299,34.83156364,17.461
-111.7320306,34.80525192,10.552
-111.6233192,34.81993255,10.808
-111.4057728,34.84899039,1.834
-111.2969383,34.8633675,9.73
-111.1880633,34.87764332,9.387
-111.0791482,34.89181781,9.656
-110.970193,34.90589092,9.136
-110.8611982,34.91986259,11.084
-110.7521639,34.93373278,12.64
-111.7502105,34.89341936,9.989
-111.6413781,34.90811545,4.806
-111.5325042,34.92271033,2.237
-111.4235891,34.93720393,3.766
-111.3146332,34.9515962,8.501
-111.2056366,34.9658871,10.168
-111.0965997,34.98007657,12.366
-110.9875227,34.99416456,10.673
-110.8784058,35.00815102,10.393
-110.7692494,35.0220359,6.511
-111.6594783,34.99628755,2.915
-111.4414464,35.02540679,5.658
-111.3323687,35.0398143,7.531
-111.2232503,35.05412034,8.422
-111.1140914,35.06832485,9.052
-111.0048922,35.08242779,10.292
-110.8956531,35.0964291,6.567
-110.7863742,35.11032873,10.656
-112.3314375,34.99456642,16.743
-112.2225746,35.0097999,14.578
-112.1136687,35.02493223,13.57
-112.00472,35.03996336,9.765
-111.8957289,35.05489324,9.588
-111.7866955,35.06972182,4.672
-111.5685031,35.09907483,5.331
-111.4593447,35.11359916,6.679
-111.350145,35.12802197,2.925
-111.2409045,35.14234322,8.41
-111.1316233,35.15656284,5.441
-111.0223017,35.17068079,6.221
-110.91294,35.18469701,5.197
-110.8035385,35.19861146,3.295
-112.2413658,35.09787168,11.058
-112.1323387,35.11302006,8.234
-112.0232686,35.12806714,6.466
-111.9141559,35.14301286,10.704
-111.8050009,35.15785719,9.589
-111.6958037,35.17260006,7.259
-111.5865647,35.18724142,8.213
-111.4772841,35.20178122,9.482
-111.3679622,35.2162194,9.772
-111.2585993,35.23055591,11.755
-111.1491955,35.24479071,13.082
-111.0397513,35.25892373,11.594
-110.9302668,35.27295493,10.424
-110.8207423,35.28688426,12.798
-112.3693056,35.17066704,14.945
-112.2602002,35.18593286,11.753
-112.1510516,35.20109734,10.204
-112.0418598,35.21616044,8.063
-111.9326253,35.23112208,5.628
-111.8233483,35.24598223,0.273
-111.7140291,35.26074083,7.969
-111.6046678,35.27539781,11.691
-111.4952649,35.28995314,8.862
-111.3858204,35.30440676,6.713
-111.2763348,35.31875861,2.479
-111.1668083,35.33300864,8.202
-111.0572411,35.3471568,6.963
-110.9476336,35.36120304,3.891
-110.8379859,35.37514731,3.856
-112.4974882,35.24331805,14.003
-112.3883049,35.25870152,10.547
-112.2790779,35.27398361,10.818
-112.1698075,35.28916427,14.46
-112.0604938,35.30424345,10.813
-111.9511373,35.31922108,8.192
-111.8417381,35.33409711,6.144
-111.7322964,35.3488715,10.719
-111.6228127,35.36354418,3.896
-111.5132871,35.37811511,12.141
-111.4037199,35.39258422,1.633
-111.2941113,35.40695147,0.927
-111.1844617,35.4212168,2.942
-111.0747713,35.43538017,1.627
-110.9650404,35.44944152,4.459
-110.8552693,35.46340079,-0.046
-112.6259139,35.31582444,11.921
-112.516653,35.33132576,12.981
-112.407348,35.34672567,10.391
-112.2979991,35.36202411,12.988
-112.1886066,35.37722102,14.491
-112.0791708,35.39231634,14.131
-111.9696919,35.40731003,8.636
-111.8601702,35.42220202,-3.361
-111.7506059,35.43699226,3.997
-111.6409994,35.45168071,4.59
-111.5313509,35.46626729,5.474
-111.4216606,35.48075197,6.481
-111.3119289,35.49513469,12.526
-111.202156,35.50941539,4.793
-111.0923421,35.52359403,3.758
-110.9824876,35.53767054,2.058
-110.8725926,35.55164488,-2.902
-110.7626576,35.565517,-0.638
-112.8638762,35.37246516,11.578
-112.7545828,35.38818595,8.7
-112.6452446,35.40380534,8.406
-112.5358619,35.41932327,12.125
-112.4264349,35.43473968,14.959
-112.3169638,35.45005453,12.465
-112.2074491,35.46526775,12.286
-112.0978908,35.4803793,13.67
-111.9882893,35.49538911,11.136
-111.8786448,35.51029712,9.727
-111.7689577,35.52510329,9.159
-111.6592282,35.53980757,5.376
-111.5494565,35.55440988,8.418
-111.4396429,35.56891019,1.079
-111.3297877,35.58330844,4.597
-111.2198911,35.59760458,3.649
-111.1099535,35.61179855,3.769
-110.9999751,35.6258903,-0.668
-110.8899561,35.63987977,-1.528
-110.7798969,35.65376693,-2.973
-112.9928653,35.44456322,14.361
-112.8834953,35.46040231,15.609
-112.7740801,35.47613997,12.883
-112.6646199,35.49177612,14.605
-112.5551151,35.50731073,14.711
-112.4455658,35.52274373,17.723
-112.3359724,35.53807506,15.93
-112.226335,35.55330466,15.668
-112.116654,35.5684325,13.326
-112.0069297,35.58345849,6.891
-111.8971622,35.5983826,6.687
-111.7873519,35.61320477,8.536
-111.677499,35.62792494,8.509
-111.5676039,35.64254305,9.007
-111.4576667,35.65705906,1.588
-111.3476878,35.67147291,-0.446
-111.2376673,35.68578455,0.509
-111.1276057,35.69999391,0.975
-111.0175031,35.71410096,2.565
-110.9073599,35.72810564,-1.811
-110.7971762,35.74200789,-1.387
-113.1220978,35.51651566,14.258
-113.0126515,35.53247326,13.344
-112.9031596,35.54832939,12.892
-112.7936223,35.56408398,13.26
-112.6840399,35.57973698,19.251
-112.5744127,35.59528833,16.749
-112.4647409,35.61073798,17.639
-112.3550248,35.62608586,14.322
-112.2452646,35.64133192,12.203
-112.1354606,35.65647611,10.803
-112.0256131,35.67151837,11.824
-111.9157224,35.68645864,8.111
-111.8057887,35.70129687,3.605
-111.6958122,35.716033,9.414
-111.5857934,35.73066698,6.554
-111.4757323,35.74519876,-0.378
-111.3656294,35.75962827,-0.551
-111.2554848,35.77395547,0.765
-111.1452988,35.78818031,0.689
-111.0350718,35.80230272,2.791
-110.924804,35.81632266,-2.087
-110.8144956,35.83024008,0.3
-113.2515739,35.5883222,15.365
-113.1420516,35.60439852,14.189
-113.0324834,35.62037333,17.074
-112.9228693,35.63624656,14.259
-112.8132097,35.65201817,13.57
-112.7035048,35.66768808,13.964
-112.5937549,35.68325625,16.233
-112.4839603,35.69872262,12.93
-112.3741212,35.71408712,11.653
-112.2642379,35.72934971,8.993
-112.1543107,35.74451033,9.203
-112.0443398,35.75956892,5.801
-111.9343256,35.77452542,7.475
-111.8242681,35.78937978,5.599
-111.7141679,35.80413194,5.114
-111.604025,35.81878186,5.682
-111.4938398,35.83332946,0.532
-111.3836126,35.84777471,-0.14
-111.2733436,35.86211754,-0.144
-111.1630331,35.87635791,2.198
-111.0526814,35.89049575,1.891
-110.9422887,35.90453102,1.114
-110.8318553,35.91846367,1.154
-113.2716959,35.67617783,11.589
-113.1620516,35.69227152,8.139
-113.052361,35.7082636,12.3
-112.9426245,35.72415402,13.904
-112.8328423,35.7399427,13.162
-112.7230146,35.75562961,16.815
-112.6131419,35.77121467,12.113
-112.5032242,35.78669782,12.989
-112.3932619,35.80207902,11.816
-112.2832552,35.81735821,8.128
-112.1732045,35.83253532,4.503
-112.06311,35.84761031,4.908
-111.9529718,35.86258311,6.89
-111.8427905,35.87745367,9.528
-111.7325661,35.89222194,4.874
-111.622299,35.90688785,2.609
-111.5119894,35.92145136,-1.13
-111.4016376,35.93591241,0.556
-111.2912439,35.95027094,1.739
-111.1808085,35.9645269,3.762
-111.0703318,35.97868025,1.651
-110.959814,35.99273091,0.007
-110.8492554,36.00667885,2.021
-113.2918644,35.76402369,18.051
-113.1820977,35.78013483,10.844
-113.0722846,35.79614426,15.63
-112.9624254,35.81205193,15.073
-112.8525203,35.82785777,13.134
-112.7425696,35.84356173,17.366
-112.6325737,35.85916375,12.435
-112.5225327,35.87466378,9.13
-112.4124469,35.89006174,16.513
-112.3023166,35.90535759,7.957
-112.1921421,35.92055128,5.922
-112.0819236,35.93564273,8.684
-111.9716614,35.9506319,6.939
-111.8613558,35.96551873,7.446
-111.751007,35.98030317,5.169
-111.6406154,35.99498515,1.244
-111.5301811,36.00956463,-0.838
-111.4197045,36.02404154,-1.219
-111.3091858,36.03841584,-0.073
-111.1986254,36.05268747,0.282
-111.0880234,36.06685638,0.841
-110.9773802,36.0809225,0.263
-110.866696,36.0948858,-1.624
-110.7559712,36.10874621,2.251
-113.3120796,35.85185996,20.404
-113.2021902,35.86798862,12.22
-113.0922543,35.88401548,14.778
-112.9822721,35.89994047,17.415
-112.8722439,35.91576355,13.172
-112.76217,35.93148464,15.535
-112.6520506,35.9471037,22.704
-112.541886,35.96262065,12.568
-112.4316764,35.97803546,9.971
-112.3214223,35.99334805,9.65
-112.2111237,36.00855837,8.171
-112.100781,36.02366636,7.651
-111.9903944,36.03867197,7.69
-111.8799643,36.05357514,7.715
-111.7694909,36.06837582,10.423
-111.6589744,36.08307394,5.671
-111.5484152,36.09766945,-0.545
-111.4378135,36.1121623,-0.987
-111.3271696,36.12655244,1.026
-111.2164837,36.1408398,0.635
-111.1057562,36.15502433,-1.236
-110.9949873,36.16910599,-0.827
-110.8841773,36.18308471,-2.713
-110.7733265,36.19696044,1.605
-113.2223292,35.95583308,17.591
-113.1122702,35.97187744,12.319
-113.0021648,35.98781983,14.514
-112.8920132,36.00366021,16.034
-112.7818157,36.01939851,12.429
-112.6715726,36.03503467,11.778
-112.5612842,36.05056863,13.032
-112.4509506,36.06600035,11.661
-112.3405723,36.08132975,9.349
-112.2301494,36.09655678,12.946
-112.1196822,36.11168138,10.776
-112.009171,36.1267035,7.957
-111.8986161,36.14162308,6.9
-111.7880177,36.15644007,7.008
-111.6773762,36.17115439,12.547
-111.5666917,36.18576601,2.868
-111.4559647,36.20027487,1.051
-111.3451952,36.21468091,-0.255
-111.2343837,36.22898407,0.375
-111.1235304,36.2431843,-2.266
-111.0126355,36.25728155,-2.359
-110.9016995,36.27127576,-0.165
-110.7907224,36.28516688,1.258
-113.242515,36.04366839,16.428
-113.1323326,36.05973031,14.659
-113.0221037,36.07569018,12.587
-112.9118284,36.09154794,17.557
-112.8015071,36.10730351,15.686
-112.6911401,36.12295686,16.518
-112.5807275,36.1385079,15.433
-112.4702696,36.15395659,8.33
-112.3597668,36.16930288,10.219
-112.2492193,36.18454669,12.109
-112.1386274,36.19968797,9.58
-112.0279913,36.21472668,11.515
-111.9173114,36.22966274,7.378
-111.8065878,36.2444961,4.277
-111.6958209,36.2592267,5.062
-111.5850109,36.2738545,5.009
-111.4741582,36.28837943,1.977
-111.363263,36.30280143,-0.196
-111.2523255,36.31712046,-0.641
-111.1413461,36.33133646,-3.901
-111.030325,36.34544937,-3.459
-110.9192626,36.35945914,-0.456
-110.808159,36.37336571,2.663
-113.1524416,36.14757429,18.125
-113.0420889,36.16355171,15.92
-112.9316897,36.17942691,12.781
-112.8212443,36.19519984,15.847
-112.710753,36.21087043,15.478
-112.600216,36.22643863,14.985
-112.4896336,36.24190438,8.245
-112.3790061,36.25726762,12.243
-112.2683337,36.27252828,9.123
-112.0468555,36.30274167,12.648
-111.9360502,36.31769428,5.835
-111.8252012,36.33254409,5.055
-111.7143086,36.34729105,2.757
-111.6033729,36.36193509,3.358
-111.4923942,36.37647616,1.221
-111.3813729,36.3909142,-2.213
-111.2703092,36.40524917,-5.703
-111.1592035,36.419481,-5.3
-111.0480559,36.43360963,-3.522
-110.9368668,36.44763503,-1.671
-110.8256364,36.46155712,-1.336
-112.7304116,36.29877559,9.471
-112.6197499,36.31436101,14.159
-112.5090427,36.32984389,9.546
-112.3982902,36.34522415,8.054
-112.2874927,36.36050174,8.57
-112.0657637,36.39074868,2.911
-111.9548328,36.40571791,3.467
-111.843858,36.42058424,7.453
-111.7328396,36.43534761,7.383
-111.6217778,36.45000796,1.877
-111.5106729,36.46456524,-0.611
-111.3995253,36.4790194,-2.982
-111.2883351,36.49337037,-3.669
-111.1771026,36.5076181,-4.188
-111.0658283,36.52176253,-1.104
-110.9545122,36.53580362,2.657
-110.8431547,36.5497413,1.613
-112.5284971,36.4177753,9.135
-112.4176193,36.43317266,6.766
-112.0847161,36.47874788,4.927
-111.9736594,36.4937338,0.315
-111.8625585,36.50861672,3.07
-111.7514139,36.52339658,4.458
-111.6402258,36.53807331,2.019
-111.5289944,36.55264688,-3.638
-111.4177201,36.56711721,-2.075
-111.3064031,36.58148425,-2.29
-111.1950438,36.59574795,-3.852
-111.0836423,36.60990825,-1.782
