"","Class","lon","lat"
"2338",5,-110.91926,36.35946
"806.1",5,-113.23679,33.04412
"1697",3,-113.30923,34.85292
"2483",3,-109.85553,36.75883
"666",4,-112.65,32.85901
"1924",5,-114.49772,35.12452
"2377",4,-111.8252,36.33254
"703",6,-113.93715,32.75251
"912",3,-111.57113,33.46676
"639",3,-110.08241,33.11681
"1110",2,-110.45903,33.97528
"252.1",4,-110.67897,32.22456
"350",2,-112.20454,32.28697
"1942",3,-112.53586,35.41932
"2607",4,-113.82887,36.5925
"972",3,-109.97971,33.76316
"319",5,-111.34474,32.31708
"1583",2,-110.8612,34.91986
"177",4,-111.8005,31.88975
"2326",3,-112.24922,36.18455
"440",4,-111.5021,32.5681
"864",4,-111.98016,33.31925
"2666",5,-112.86931,36.91389
"51",3,-111.40044,31.4908
"999",5,-112.24842,33.55381
"2588.1",4,-112.0304,36.75774
"505",4,-114.06683,32.36649
"229",2,-109.60831,32.26887
"182",4,-111.2764,31.9628
"721",6,-112.03228,33.0393
"645.2",5,-109.44184,33.19437
"276",3,-111.95844,32.14032
"1127",3,-113.3739,33.66066
"1692",5,-113.85086,34.77071
"1988",4,-112.66462,35.49178
"748",3,-114.37915,32.77242
"1739",5,-113.7631,34.87519
"2423",4,-111.73284,36.43535
"601",2,-114.10729,32.54261
"1990",3,-112.44557,35.52274
"1309",3,-112.80897,34.10891
"2137",3,-111.84279,35.87745
"557",3,-113.56143,32.53817
"2111",1,-109.50358,36.07763
"1789",4,-113.45792,35.01245
"394",2,-111.90665,32.42064
"1303",4,-113.45323,34.01266
"2073",5,-113.6892,35.523
"2419",4,-112.28749,36.3605
"2247",5,-110.32952,36.25143
"2124",3,-113.2717,35.67618
"10",3,-109.9951,31.4044
"1285",3,-110.20053,34.36938
"768",4,-112.26295,33.0973
"2574",3,-113.69711,36.52138
"14",3,-109.5772,31.45635
"2328.1",4,-112.02799,36.21473
"689",3,-110.09835,33.20541
"1494",4,-111.04436,34.71527
"367",3,-110.41107,32.53152
"2507",4,-111.77003,36.61144
"1072",4,-114.52473,33.38779
