"","ClassA","lon","lat"
"1591",3,-111.7664019,32.80405078
"631",4,-109.8040077,32.15429168
"884",4,-112.4830568,32.06410658
"5757",6,-111.4177201,36.56711721
"3933",3,-114.0256672,34.56151442
"3947",2,-112.5108562,34.78771692
"4475",3,-111.4037199,35.39258422
"4465",3,-112.4974882,35.24331805
"2834",3,-112.4111481,33.80310369
"5217",3,-109.8687415,36.2159194
"4067",3,-110.5676985,35.13782277
"4863",2,-114.3229204,35.33430145
"4983",3,-112.5937549,35.68325625
"2606",3,-114.3977194,33.31720784
"5535",4,-109.5833876,36.51951209
"2332",3,-110.3932367,33.62138836
"5183",5,-113.6208838,35.71508064
"2133",3,-110.039237,33.48435406
"2831",3,-112.732455,33.75651741
"1288",4,-110.9732579,32.63967453
"5983",3,-112.4228668,36.97610359
