"","ClassA","lon","lat"
"526",2,-111.4689336,31.8452938
"527",4,-111.3641872,31.85979367
"528",3,-111.2594032,31.87419549
"529",2,-111.1545818,31.88849922
"530",4,-111.0497231,31.9027048
"531",2,-110.9448275,31.91681219
"532",3,-110.8398951,31.93082136
"533",3,-110.7349263,31.94473225
"534",3,-110.6299212,31.95854482
"535",3,-110.5248801,31.97225904
"536",3,-110.4198031,31.98587486
"537",2,-110.3146907,31.99939223
"538",2,-110.2095429,32.01281112
"539",3,-110.1043601,32.02613149
"540",2,-109.9991425,32.03935328
"541",4,-109.8938903,32.05247646
"542",2,-109.7886037,32.065501
"543",2,-109.683283,32.07842684
"544",3,-109.5779285,32.09125396
"545",3,-109.4725404,32.1039823
"606",3,-112.4281416,31.79884469
"607",3,-112.3236334,31.81423945
"608",3,-112.2190854,31.82953649
"609",3,-112.1144977,31.84473575
"610",0,-112.0098706,31.85983719
"611",2,-111.9052042,31.87484077
"612",3,-111.800499,31.88974643
"613",4,-111.6957549,31.90455414
"614",4,-111.5909724,31.91926384
"615",3,-111.4861516,31.9338755
"616",5,-111.3812928,31.94838907
"617",5,-111.2763962,31.96280449
"618",4,-111.171462,31.97712174
"619",3,-111.0664905,31.99134076
"620",5,-110.9614819,32.00546151
"621",4,-110.8564365,32.01948395
"622",3,-110.7513544,32.03340803
"623",3,-110.646236,32.04723372
"624",5,-110.5410814,32.06096095
"625",5,-110.4358909,32.07458971
"626",3,-110.3306648,32.08811993
"627",4,-110.2254033,32.10155159
"628",1,-110.1201065,32.11488463
"629",4,-110.0147748,32.12811902
"630",2,-109.9094085,32.14125472
"631",4,-109.8040077,32.15429168
"632",3,-109.6985726,32.16722986
"633",4,-109.5931036,32.18006923
"634",3,-109.4876009,32.19280973
"695",4,-112.6555248,31.85617058
"696",2,-112.5509858,31.8717753
"697",3,-112.4464064,31.88728231
"698",2,-112.3417866,31.90269155
"699",3,-112.2371269,31.91800299
"700",5,-112.1324274,31.93321657
"701",4,-112.0276883,31.94833225
"702",3,-111.9229099,31.96334999
"703",3,-111.8180924,31.97826973
"704",3,-111.7132361,31.99309144
"705",5,-111.6083411,32.00781505
"706",2,-111.5034077,32.02244054
"707",4,-111.3984362,32.03696786
"708",3,-111.2934267,32.05139695
"709",6,-111.1883796,32.06572778
"710",0,-111.083295,32.07996029
"711",4,-110.9781732,32.09409446
"712",3,-110.8730144,32.10813023
"713",3,-110.7678189,32.12206756
"714",4,-110.6625869,32.1359064
"715",1,-110.5573187,32.14964671
"716",4,-110.4520144,32.16328846
"717",3,-110.3466743,32.17683159
"718",3,-110.2412987,32.19027607
"719",3,-110.1358879,32.20362185
"720",4,-110.0304419,32.21686889
"721",3,-109.9249612,32.23001715
"722",3,-109.8194458,32.24306658
"723",4,-109.7138962,32.25601716
"724",4,-109.6083124,32.26886883
"725",2,-109.5026949,32.28162155
"786",2,-112.8832313,31.91302978
"787",3,-112.7786627,31.92884465
"788",3,-112.674053,31.94456182
"789",3,-112.5694025,31.96018125
"790",4,-112.4647114,31.97570288
"791",5,-112.3599799,31.99112667
"792",3,-112.2552082,32.00645257
"793",3,-112.1503966,32.02168054
"794",3,-112.0455454,32.03681052
"795",3,-111.9406547,32.05184248
"796",5,-111.8357247,32.06677636
"797",5,-111.7307558,32.08161212
"798",2,-111.6257481,32.09634971
"799",2,-111.5207019,32.11098909
"800",3,-111.4156175,32.1255302
"801",1,-111.3104949,32.13997302
"802",3,-111.2053346,32.15431749
"803",6,-111.1001367,32.16856356
"804",6,-110.9949015,32.1827112
"805",4,-110.8896291,32.19676035
"806",3,-110.7843199,32.21071098
"807",4,-110.6789741,32.22456304
"808",3,-110.5735919,32.23831649
"809",3,-110.4681736,32.25197128
"810",3,-110.3627194,32.26552738
"811",7,-110.2572295,32.27898473
"812",6,-110.1517042,32.2923433
"813",3,-110.0461438,32.30560304
"814",3,-109.9405484,32.31876392
"815",3,-109.8349183,32.33182588
"816",3,-109.7292538,32.3447889
"817",3,-109.6235551,32.35765293
"818",4,-109.5178225,32.37041792
"819",3,-109.4120561,32.38308384
"878",3,-113.111259,31.96942149
"879",4,-113.0066621,31.9854467
"880",3,-112.9020234,32.00137423
"881",3,-112.7973433,32.01720404
"882",1,-112.6926221,32.03293606
"883",3,-112.5878598,32.04857026
"884",4,-112.4830568,32.06410658
"885",4,-112.3782133,32.07954498
"886",3,-112.2733294,32.09488541
"887",4,-112.1684056,32.11012782
"888",4,-112.0634419,32.12527216
"889",1,-111.9584386,32.1403184
"890",2,-111.853396,32.15526648
"891",3,-111.7483143,32.17011635
"892",1,-111.6431937,32.18486797
"893",3,-111.5380344,32.1995213
"894",3,-111.4328368,32.21407628
"895",3,-111.327601,32.22853288
"896",3,-111.2223272,32.24289104
"897",3,-111.1170157,32.25715073
"898",3,-111.0116668,32.27131189
"899",3,-110.9062807,32.28537449
"900",3,-110.8008576,32.29933848
"901",3,-110.6953977,32.31320381
"902",3,-110.5899013,32.32697045
"903",3,-110.4843687,32.34063834
"904",3,-110.3788001,32.35420745
"905",3,-110.2731957,32.36767774
"906",3,-110.1675558,32.38104915
"907",3,-110.0618806,32.39432165
"908",3,-109.9561703,32.4074952
"909",3,-109.8504253,32.42056975
"910",3,-109.7446457,32.43354526
"911",4,-109.6388317,32.4464217
"912",4,-109.5329838,32.45919901
"913",3,-109.427102,32.47187717
"971",3,-113.2349821,32.04158067
"972",5,-113.1303157,32.05771875
"973",3,-113.0256073,32.07375912
"974",3,-112.920857,32.08970173
"975",1,-112.8160652,32.10554653
"976",3,-112.7112321,32.12129346
"977",5,-112.6063578,32.13694249
"978",3,-112.5014427,32.15249356
"979",3,-112.3964869,32.16794663
"980",3,-112.2914907,32.18330165
"981",3,-112.1864543,32.19855857
"982",3,-112.081378,32.21371734
"983",4,-111.976262,32.22877791
"984",4,-111.8711065,32.24374025
"985",4,-111.7659117,32.25860429
"986",4,-111.6606779,32.27337001
"987",3,-111.5554054,32.28803734
"988",3,-111.4500943,32.30260625
"989",3,-111.3447449,32.31707668
"990",2,-111.2393575,32.3314486
"991",3,-111.1339322,32.34572196
"992",3,-111.0284694,32.35989671
"993",3,-110.9229692,32.37397281
"994",3,-110.8174319,32.38795021
"995",5,-110.7118578,32.40182888
"996",3,-110.606247,32.41560876
"997",3,-110.5005999,32.42928981
"998",3,-110.3949166,32.44287199
"999",2,-110.2891974,32.45635526
"1000",2,-110.1834426,32.46973958
"1001",3,-110.0776524,32.48302489
"1002",3,-109.9718271,32.49621116
"1003",3,-109.8659668,32.50929835
"1004",3,-109.7600718,32.52228641
"1005",5,-109.6541424,32.53517531
"1006",5,-109.5481789,32.547965
"1007",2,-109.4421814,32.56065544
"1065",4,-113.4636207,32.09724576
"1066",3,-113.3589278,32.11359458
"1067",3,-113.2541923,32.12984571
"1068",3,-113.1494143,32.14599909
"1069",3,-113.0445942,32.16205468
"1070",4,-112.9397322,32.17801242
"1071",2,-112.8348285,32.19387228
"1072",3,-112.7298832,32.20963419
"1073",3,-112.6248968,32.22529812
"1074",3,-112.5198693,32.240864
"1075",4,-112.414801,32.2563318
"1076",2,-112.3096922,32.27170147
"1077",3,-112.2045431,32.28697295
"1078",3,-112.0993538,32.30214621
"1079",4,-111.9941248,32.31722118
"1080",4,-111.8888561,32.33219784
"1081",3,-111.7835481,32.34707612
"1082",5,-111.6782009,32.36185598
"1083",5,-111.5728148,32.37653738
"1084",3,-111.4673901,32.39112027
"1085",3,-111.3619269,32.40560461
"1086",3,-111.2564256,32.41999034
"1087",4,-111.1508863,32.43427743
"1088",3,-111.0453093,32.44846582
"1089",3,-110.9396948,32.46255548
"1090",3,-110.8340431,32.47654636
"1091",3,-110.7283545,32.49043841
"1092",4,-110.6226291,32.50423159
"1093",3,-110.5168672,32.51792585
"1094",4,-110.411069,32.53152116
"1095",5,-110.3052348,32.54501747
"1096",6,-110.1993649,32.55841474
"1097",4,-110.0934594,32.57171292
"1098",5,-109.9875187,32.58491197
"1099",4,-109.8815429,32.59801185
"1100",4,-109.7755324,32.61101252
"1101",3,-109.6694873,32.62391393
"1102",2,-109.5634079,32.63671605
"1103",4,-109.4572945,32.64941882
"1161",2,-113.692576,32.15244119
"1162",3,-113.5878578,32.16900093
"1163",6,-113.4830964,32.185463
"1164",3,-113.378292,32.20182734
"1165",4,-113.2734449,32.21809392
"1166",4,-113.1685552,32.23426266
"1167",3,-113.0636232,32.25033353
"1168",3,-112.9586491,32.26630648
"1169",5,-112.8536332,32.28218146
"1170",3,-112.7485756,32.29795841
"1171",5,-112.6434767,32.3136373
"1172",3,-112.5383366,32.32921806
"1173",3,-112.4331556,32.34470065
"1174",3,-112.327934,32.36008503
"1175",3,-112.2226718,32.37537114
"1176",2,-112.1173695,32.39055894
"1177",3,-112.0120272,32.40564838
"1178",4,-111.9066452,32.42063941
"1179",4,-111.8012236,32.43553199
"1180",3,-111.6957628,32.45032607
"1181",3,-111.5902629,32.46502159
"1182",4,-111.4847243,32.47961853
"1183",3,-111.3791471,32.49411682
"1184",6,-111.2735316,32.50851642
"1185",2,-111.1678781,32.5228173
"1186",3,-111.0621867,32.53701939
"1187",2,-110.9564577,32.55112267
"1188",4,-110.8506913,32.56512707
"1189",3,-110.7448879,32.57903257
"1190",3,-110.6390476,32.5928391
"1191",3,-110.5331707,32.60654664
"1192",4,-110.4272574,32.62015513
"1193",5,-110.321308,32.63366454
"1194",3,-110.2153227,32.64707482
"1195",3,-110.1093017,32.66038592
"1196",3,-110.0032454,32.6735978
"1197",2,-109.8971539,32.68671043
"1198",4,-109.7910275,32.69972375
"1199",2,-109.6848665,32.71263773
"1200",4,-109.578671,32.72545233
"1201",3,-109.4724414,32.7381675
"1261",4,-113.8171037,32.22393702
"1262",2,-113.7123177,32.24061021
"1263",3,-113.6074881,32.2571857
"1264",3,-113.5026151,32.27366344
"1265",3,-113.397699,32.29004338
"1266",3,-113.29274,32.30632546
"1267",3,-113.1877383,32.32250963
"1268",3,-113.0826942,32.33859585
"1269",4,-112.9776078,32.35458407
"1270",4,-112.8724795,32.37047423
"1271",3,-112.7673094,32.38626629
"1272",3,-112.6620978,32.40196019
"1273",4,-112.5568449,32.4175559
"1274",3,-112.4515509,32.43305335
"1275",3,-112.3462162,32.4484525
"1276",3,-112.2408408,32.4637533
"1277",4,-112.1354252,32.47895571
"1278",2,-112.0299694,32.49405967
"1279",3,-111.9244737,32.50906514
"1280",3,-111.8189384,32.52397207
"1281",4,-111.7133637,32.53878042
"1282",3,-111.6077498,32.55349013
"1283",5,-111.5020971,32.56810117
"1284",4,-111.3964056,32.58261348
"1285",3,-111.2906757,32.59702701
"1286",3,-111.1849077,32.61134173
"1287",4,-111.0791016,32.62555759
"1288",4,-110.9732579,32.63967453
"1289",5,-110.8673766,32.65369253
"1290",3,-110.7614582,32.66761152
"1291",4,-110.6555028,32.68143147
"1292",3,-110.5495106,32.69515234
"1293",3,-110.4434819,32.70877407
"1294",1,-110.337417,32.72229663
"1295",3,-110.2313161,32.73571997
"1296",3,-110.1251794,32.74904405
"1297",5,-110.0190072,32.76226882
"1298",3,-109.9127997,32.77539424
"1299",5,-109.8065573,32.78842028
"1300",1,-109.70028,32.80134688
"1301",5,-109.5939682,32.81417401
"1302",3,-109.4876222,32.82690162
"1361",3,-114.0466635,32.27840205
"1362",6,-113.9418542,32.29528655
"1363",5,-113.8370006,32.31207337
"1364",3,-113.732103,32.32876246
"1365",3,-113.6271618,32.34535377
"1366",4,-113.522177,32.36184724
"1367",4,-113.4171489,32.37824284
"1368",5,-113.3120778,32.39454049
"1369",3,-113.2069639,32.41074016
"1370",5,-113.1018074,32.4268418
"1371",4,-112.9966085,32.44284535
"1372",3,-112.8913675,32.45875076
"1373",4,-112.7860847,32.47455798
"1374",4,-112.6807601,32.49026697
"1375",3,-112.5753942,32.50587768
"1376",3,-112.4699871,32.52139005
"1377",3,-112.364539,32.53680403
"1378",3,-112.2590502,32.55211959
"1379",2,-112.1535209,32.56733666
"1380",4,-112.0479514,32.58245521
"1381",4,-111.9423419,32.59747519
"1382",3,-111.8366926,32.61239653
"1383",3,-111.7310038,32.62721921
"1384",4,-111.6252757,32.64194317
"1385",5,-111.5195085,32.65656837
"1386",2,-111.4137026,32.67109475
"1387",3,-111.3078581,32.68552228
"1388",4,-111.2019752,32.6998509
"1389",3,-111.0960543,32.71408058
"1390",4,-110.9900955,32.72821126
"1391",3,-110.8840992,32.74224289
"1392",2,-110.7780655,32.75617545
"1393",3,-110.6719947,32.77000887
"1394",2,-110.565887,32.78374312
"1395",5,-110.4597427,32.79737815
"1396",3,-110.353562,32.81091391
"1397",2,-110.2473452,32.82435037
"1398",4,-110.1410926,32.83768748
"1399",3,-110.0348043,32.8509252
"1400",1,-109.9284806,32.86406348
"1401",3,-109.8221218,32.87710228
"1402",3,-109.7157281,32.89004156
"1403",3,-109.6092998,32.90288127
"1404",3,-109.502837,32.91562138
"1462",3,-114.1717037,32.34949123
"1463",3,-114.0668274,32.36648956
"1464",3,-113.9619066,32.38339018
"1465",3,-113.8569414,32.40019305
"1466",3,-113.7519321,32.4168981
"1467",3,-113.6468789,32.43350529
"1468",4,-113.5417821,32.45001457
"1469",3,-113.4366419,32.46642589
"1470",3,-113.3314585,32.48273919
"1471",4,-113.2262321,32.49895442
"1472",4,-113.120963,32.51507153
"1473",3,-113.0156514,32.53109047
"1474",4,-112.9102975,32.5470112
"1475",3,-112.8049016,32.56283366
"1476",3,-112.6994639,32.5785578
"1477",4,-112.5939847,32.59418357
"1478",3,-112.4884641,32.60971092
"1479",4,-112.3829025,32.6251398
"1480",5,-112.2773,32.64047018
"1481",3,-112.1716569,32.65570198
"1482",3,-112.0659734,32.67083518
"1483",5,-111.9602498,32.68586971
"1484",4,-111.8544863,32.70080554
"1485",3,-111.7486831,32.71564261
"1486",2,-111.6428405,32.73038088
"1487",2,-111.5369588,32.74502029
"1488",4,-111.4310381,32.75956081
"1489",3,-111.3250787,32.77400239
"1490",5,-111.2190809,32.78834498
"1491",6,-111.1130448,32.80258853
"1492",5,-111.0069708,32.816733
"1493",3,-110.9008591,32.83077834
"1494",4,-110.7947099,32.84472451
"1495",3,-110.6885234,32.85857146
"1496",5,-110.5823,32.87231915
"1497",3,-110.4760398,32.88596753
"1498",1,-110.3697432,32.89951656
"1499",4,-110.2634103,32.9129662
"1500",3,-110.1570414,32.92631639
"1501",2,-110.0506367,32.93956711
"1502",5,-109.9441966,32.95271829
"1503",4,-109.8377212,32.96576991
"1504",6,-109.7312108,32.97872192
"1505",3,-109.6246656,32.99157428
"1506",3,-109.518086,33.00432694
"1507",4,-109.4114721,33.01697986
"1567",4,-114.2969665,32.42043348
"1568",3,-114.1920237,32.43754581
"1569",5,-114.0870358,32.45456042
"1570",3,-113.9820033,32.47147723
"1571",4,-113.8769263,32.48829621
"1572",3,-113.771805,32.5050173
"1573",3,-113.6666397,32.52164044
"1574",3,-113.5614307,32.53816559
"1575",4,-113.456178,32.5545927
"1576",3,-113.350882,32.5709217
"1577",3,-113.245543,32.58715256
"1578",3,-113.140161,32.60328521
"1579",4,-113.0347365,32.61931962
"1580",5,-112.9292695,32.63525572
"1581",4,-112.8237604,32.65109348
"1582",3,-112.7182093,32.66683283
"1583",3,-112.6126165,32.68247373
"1584",3,-112.5069823,32.69801613
"1585",2,-112.4013069,32.71345998
"1586",4,-112.2955904,32.72880523
"1587",3,-112.1898333,32.74405183
"1588",4,-112.0840356,32.75919973
"1589",2,-111.9781976,32.77424889
"1590",3,-111.8723197,32.78919925
"1591",3,-111.7664019,32.80405078
"1592",5,-111.6604446,32.81880341
"1593",3,-111.554448,32.83345711
"1594",2,-111.4484123,32.84801183
"1595",3,-111.3423378,32.86246752
"1596",3,-111.2362247,32.87682413
"1597",4,-111.1300733,32.89108161
"1598",3,-111.0238838,32.90523993
"1599",3,-110.9176564,32.91929903
"1600",2,-110.8113915,32.93325887
"1601",5,-110.7050892,32.94711941
"1602",5,-110.5987497,32.9608806
"1603",3,-110.4923735,32.97454239
"1604",3,-110.3859606,32.98810474
"1605",3,-110.2795113,33.00156761
"1606",4,-110.1730259,33.01493095
"1607",3,-110.0665047,33.02819471
"1608",3,-109.9599478,33.04135887
"1609",3,-109.8533556,33.05442336
"1610",5,-109.7467283,33.06738815
"1611",1,-109.640066,33.0802532
"1612",4,-109.5333692,33.09301847
"1613",5,-109.426638,33.1056839
"1671",3,-114.6323338,32.45648249
"1672",3,-114.4224523,32.49122858
"1673",3,-114.3174431,32.50845509
"1674",5,-114.2123886,32.52558385
"1675",3,-114.107289,32.54261479
"1676",4,-114.0021445,32.55954787
"1677",1,-113.8969554,32.57638303
"1678",3,-113.791722,32.59312021
"1679",6,-113.6864443,32.60975937
"1680",4,-113.5811228,32.62630046
"1681",3,-113.4757575,32.64274342
"1682",3,-113.3703487,32.6590882
"1683",5,-113.2648967,32.67533475
"1684",1,-113.1594017,32.69148301
"1685",3,-113.053864,32.70753295
"1686",3,-112.9482836,32.7234845
"1687",3,-112.842661,32.73933761
"1688",4,-112.7369963,32.75509224
"1689",3,-112.6312898,32.77074833
"1690",4,-112.5255417,32.78630584
"1691",4,-112.4197522,32.80176471
"1692",6,-112.3139216,32.8171249
"1693",5,-112.2080502,32.83238636
"1694",3,-112.102138,32.84754904
"1695",2,-111.9961855,32.86261288
"1696",3,-111.8901928,32.87757785
"1697",2,-111.7841602,32.89244389
"1698",5,-111.678088,32.90721095
"1699",4,-111.5719762,32.92187899
"1700",3,-111.4658253,32.93644796
"1701",3,-111.3596355,32.95091782
"1702",2,-111.2534069,32.96528851
"1703",4,-111.1471399,32.97955999
"1704",3,-111.0408346,32.99373222
"1705",2,-110.9344914,33.00780514
"1706",3,-110.8281104,33.02177872
"1707",2,-110.721692,33.0356529
"1708",2,-110.6152364,33.04942764
"1709",3,-110.5087437,33.06310289
"1710",3,-110.4022143,33.07667862
"1711",0,-110.2956485,33.09015478
"1712",4,-110.1890464,33.10353132
"1713",3,-110.0824083,33.11680819
"1714",4,-109.9757344,33.12998536
"1715",4,-109.8690251,33.14306279
"1716",3,-109.7622806,33.15604042
"1717",3,-109.655501,33.16891822
"1718",3,-109.5486868,33.18169614
"1719",3,-109.441838,33.19437414
"1773",5,-114.7581734,32.52690141
"1774",3,-114.6531903,32.54443769
"1775",4,-114.548161,32.56187629
"1776",3,-114.4430858,32.57921716
"1777",4,-114.3379649,32.59646024
"1778",5,-114.2327985,32.61360549
"1779",5,-114.127587,32.63065284
"1780",4,-114.0223304,32.64760225
"1781",4,-113.917029,32.66445365
"1782",3,-113.8116831,32.68120701
"1783",3,-113.7062929,32.69786225
"1784",3,-113.6008586,32.71441935
"1785",2,-113.4953804,32.73087823
"1786",5,-113.3898587,32.74723885
"1787",3,-113.2842935,32.76350115
"1788",3,-113.1786852,32.77966509
"1789",4,-113.073034,32.79573062
"1790",5,-112.9673401,32.81169768
"1791",4,-112.8616038,32.82756622
"1792",3,-112.7558252,32.84333619
"1793",3,-112.6500047,32.85900754
"1794",3,-112.5441424,32.87458022
"1795",4,-112.4382387,32.89005418
"1796",5,-112.3322937,32.90542938
"1797",4,-112.2263077,32.92070575
"1798",5,-112.1202809,32.93588326
"1799",3,-111.9081059,32.96594149
"1800",4,-111.8019582,32.9808221
"1801",3,-111.6957707,32.99560365
"1802",5,-111.5895437,33.0102861
"1803",3,-111.4832773,33.02486939
"1804",3,-111.3769718,33.03935347
"1805",3,-111.2706275,33.05373831
"1806",3,-111.1642446,33.06802384
"1807",1,-111.0578234,33.08221004
"1808",3,-110.9513641,33.09629684
"1809",1,-110.8448669,33.1102842
"1810",2,-110.7383321,33.12417208
"1811",3,-110.63176,33.13796044
"1812",4,-110.5251507,33.15164922
"1813",3,-110.4185046,33.16523838
"1814",4,-110.3118219,33.17872788
"1815",3,-110.2051028,33.19211767
"1816",3,-110.0983476,33.20540772
"1817",3,-109.9915565,33.21859796
"1818",4,-109.8847299,33.23168837
"1819",4,-109.7778679,33.2446789
"1820",4,-109.6709708,33.2575695
"1821",3,-109.5640388,33.27036013
"1822",4,-109.4570723,33.28305075
"1879",3,-114.6740929,32.63237638
"1880",2,-114.568952,32.64983178
"1881",3,-114.463765,32.66718937
"1882",3,-114.3585322,32.68444909
"1883",3,-114.2532538,32.70161089
"1884",3,-114.14793,32.71867473
"1885",4,-114.042561,32.73564053
"1886",3,-113.9371471,32.75250825
"1887",3,-113.8316885,32.76927784
"1888",3,-113.7261855,32.78594924
"1889",4,-113.6206382,32.80252241
"1890",3,-113.515047,32.81899728
"1891",3,-113.409412,32.8353738
"1892",3,-113.3037334,32.85165194
"1893",3,-113.1980116,32.86783162
"1894",2,-113.0922467,32.8839128
"1895",0,-112.986439,32.89989543
"1896",5,-112.8805887,32.91577946
"1897",4,-112.7746961,32.93156484
"1898",3,-112.6687613,32.94725152
"1899",4,-112.5627847,32.96283944
"1900",4,-112.4567664,32.97832855
"1901",2,-112.3507068,32.99371881
"1902",3,-112.244606,33.00901017
"1903",5,-112.1384643,33.02420258
"1904",4,-112.0322819,33.03929598
"1905",3,-111.9260591,33.05429034
"1906",4,-111.819796,33.06918559
"1907",3,-111.7134931,33.08398169
"1908",3,-111.6071505,33.0986786
"1909",4,-111.5007684,33.11327627
"1910",3,-111.394347,33.12777465
"1911",3,-111.2878868,33.14217368
"1912",3,-111.1813878,33.15647333
"1913",3,-111.0748503,33.17067355
"1914",5,-110.9682746,33.18477429
"1915",3,-110.8616609,33.1987755
"1916",3,-110.7550095,33.21267714
"1917",3,-110.6483207,33.22647917
"1918",4,-110.5415945,33.24018153
"1919",4,-110.4348314,33.25378418
"1920",3,-110.3280316,33.26728709
"1921",3,-110.2211953,33.28069019
"1922",5,-110.1143228,33.29399345
"1923",3,-110.0074142,33.30719683
"1924",3,-109.90047,33.32030028
"1925",5,-109.7934903,33.33330375
"1926",3,-109.6864754,33.34620721
"1927",3,-109.5794255,33.35901061
"1928",3,-109.4723409,33.3717139
"1987",5,-114.6950418,32.72029872
"1988",2,-114.4844901,32.75514537
"1989",3,-114.3791451,32.7724218
"1990",3,-114.2737544,32.78960023
"1991",6,-114.1683181,32.80668061
"1992",2,-114.0628365,32.82366288
"1993",5,-113.9573099,32.84054699
"1994",3,-113.8517384,32.85733288
"1995",3,-113.7461223,32.87402051
"1996",3,-113.6404619,32.89060981
"1997",4,-113.5347573,32.90710074
"1998",4,-113.4290088,32.92349324
